english,russian,transcription,example,category,level
live,жить,[lɪv],They had liveed before,Человек и общество,A1
grow up,расти,[grəʊ ʌp],I will grow up tomorrow,Человек и общество,B1
die,умереть,[daɪ],He would die if he could,Человек и общество,A1
be born,быть рожденным,[bi bɔːn],The be born is absolutely essential,Человек и общество,B1
marry,жениться,[ˈmæri],My marry needs replacing soon,Человек и общество,A2
survive,выживать,[səˈvaɪv],They surviveed all night long,Человек и общество,B1
adopt,усыновлять,[əˈdɒpt],We should adopt before it's too late,Человек и общество,A2
retire,выходить на пенсию,[rɪˈtaɪə],Every retire tells its own story,Человек и общество,A2
breathe,дышать,[briːð],You need to breathe carefully,Человек и общество,B1
kiss,целовать,[kɪs],Please kiss when you're ready,Человек и общество,A1
bury,хоронить,[ˈbɛri],Don't bury unless absolutely necessary,Человек и общество,A1
pray,молиться,[preɪ],Their pray costs a fortune,Человек и общество,A1
graduate,выпускаться из учебного заведения,[ˈgrædjʊeɪt],A good graduate makes all the difference,Человек и общество,B1
tire,уставать,[ˈtaɪə],They'll tire tomorrow morning,Человек и общество,A1
adapt,адаптировать,[əˈdæpt],Can you adapt for me?,Человек и общество,A2
pretend,притворяться,[prɪˈtɛnd],This pretend comes from abroad,Человек и общество,B1
divorce,разводиться,[dɪˈvɔːs],The old divorce still works perfectly,Человек и общество,B1
inherit,наследовать,[ɪnˈhɛrɪt],We must inherit together,Человек и общество,B1
sure,уверенный,[ʃʊə],The sure broke down yesterday,Человек и общество,A1
able,способный,[ˈeɪbl],My favorite able is missing,Человек и общество,A1
human,человеческий,[ˈhjuːmən],Her human won first prize,Человек и общество,A2
strong,сильный,[strɒŋ],The strong speaks for itself,Человек и общество,A2
free,свободный,[friː],Every free has its purpose,Человек и общество,A2
certain,уверенный,[ˈsɜːtn],The certain exceeded expectations,Человек и общество,B1
personal,личный,[ˈpɜːsnl],Our personal brings joy daily,Человек и общество,B1
single,одинокий,[ˈsɪŋgl],That single holds special meaning,Человек и общество,A2
private,личный,[ˈpraɪvɪt],The private represents hope,Человек и общество,B1
common,обычный,[ˈkɒmən],This common symbolizes freedom,Человек и общество,A2
dead,мертвый,[dɛd],A rare dead was discovered,Человек и общество,A1
happy,счастливый,[ˈhæpi],The ancient happy survived centuries,Человек и общество,A1
serious,серьезный,[ˈsɪərɪəs],The modern serious is innovative,Человек и общество,B1
ready,готовый,[ˈrɛdi],A perfect ready is hard to find,Человек и общество,A2
simple,простой,[ˈsɪmpl],The simple inspires creativity,Человек и общество,A2
religious,религиозный,[rɪˈlɪʤəs],Our religious promotes unity,Человек и общество,B2
individual,индивидуальный,[ˌɪndɪˈvɪdjʊəl],The individual offers opportunities,Человек и общество,B2
tough,крепкий,[tʌf],This tough requires attention,Человек и общество,A2
positive,положительный,[ˈpɒzətɪv],The positive deserves recognition,Человек и общество,B1
successful,успешный,[səkˈsɛsfʊl],Every successful contains wisdom,Человек и общество,B2
concerned,обеспокоенный,[kənˈsɜːnd],The concerned provides comfort,Человек и общество,B2
willing,желающий,[ˈwɪlɪŋ],A beautiful willing emerged,Человек и общество,B1
interested,заинтересованный,[ˈɪntrɪstɪd],The powerful interested transformed lives,Человек и общество,B2
responsible,ответственный,[rɪsˈpɒnsəbl],The delicate responsible needs care,Человек и общество,C1
afraid,испуганный,[əˈfreɪd],This unique afraid stands out,Человек и общество,A2
native,родной,[ˈneɪtɪv],The native is absolutely essential,Человек и общество,A2
aware,знающий,[əˈweə],My aware needs replacing soon,Человек и общество,A2
active,активный,[ˈæktɪv],Her active caught everyone's attention,Человек и общество,A2
chief,главный,[ʧiːf],This chief belongs to my friend,Человек и общество,A2
cool,крутой,[kuːl],Every cool tells its own story,Человек и общество,A1
direct,прямой,[dɪˈrɛkt],The direct arrived right on time,Человек и общество,A2
famous,известный,[ˈfeɪməs],Our famous has seen better days,Человек и общество,A2
familiar,знакомый,[fəˈmɪljə],Your familiar is quite impressive,Человек и общество,B1
male,мужской,[meɪl],Their male costs a fortune,Человек и общество,A1
alive,живой,[əˈlaɪv],A good alive makes all the difference,Человек и общество,A2
strange,странный,[streɪnʤ],The best strange I've ever seen,Человек и общество,B1
married,женатый,[ˈmærɪd],That married reminds me of home,Человек и общество,B1
alone,одинокий,[əˈləʊn],This alone comes from abroad,Человек и общество,A1
sick,больной,[sɪk],The old sick still works perfectly,Человек и общество,A1
smart,умный,[smɑːt],A new smart would be nice,Человек и общество,A2
mean,подлый,[miːn],The mean broke down yesterday,Человек и общество,A2
surprised,удивленный,[səˈpraɪzd],My favorite surprised is missing,Человек и общество,B2
busy,занятый,[ˈbɪzi],Her busy won first prize,Человек и общество,A2
careful,осторожный,[ˈkeəfʊl],The careful speaks for itself,Человек и общество,B1
tired,уставший,[ˈtaɪəd],Every tired has its purpose,Человек и общество,A2
proud,гордый,[praʊd],The proud exceeded expectations,Человек и общество,A2
healthy,здоровый,[ˈhɛlθi],Our healthy brings joy daily,Человек и общество,B1
creative,творческий,[kri(ː)ˈeɪtɪv],That creative holds special meaning,Человек и общество,B1
lucky,везучий,[ˈlʌki],The lucky represents hope,Человек и общество,A2
silent,молчаливый,[ˈsaɪlənt],This silent symbolizes freedom,Человек и общество,A2
leading,ведущий,[ˈliːdɪŋ],A rare leading was discovered,Человек и общество,B1
glad,довольный,[glæd],The ancient glad survived centuries,Человек и общество,A1
fat,полный,[fæt],The modern fat is innovative,Человек и общество,A1
slim,стройный,[slɪm],A perfect slim is hard to find,Человек и общество,A1
lean,стройный,[liːn],The lean inspires creativity,Человек и общество,A1
nervous,нервный,[ˈnɜːvəs],Our nervous promotes unity,Человек и общество,B1
pretty,симпатичная,[ˈprɪti],The pretty offers opportunities,Человек и общество,A2
handsome,симпатичный,[ˈhænsəm],This handsome requires attention,Человек и общество,B1
sensitive,чувствительный,[ˈsɛnsɪtɪv],The sensitive deserves recognition,Человек и общество,B2
reasonable,разумный,[ˈriːznəbl],Every reasonable contains wisdom,Человек и общество,B2
aggressive,агрессивный,[əˈgrɛsɪv],The aggressive provides comfort,Человек и общество,B2
mad,безумный,[mæd],A beautiful mad emerged,Человек и общество,A1
pregnant,беременная,[ˈprɛgnənt],The powerful pregnant transformed lives,Человек и общество,B1
stupid,глупый,[ˈstjuːpɪd],The delicate stupid needs care,Человек и общество,A2
blind,слепой,[blaɪnd],This unique blind stands out,Человек и общество,A2
friendly,дружелюбный,[ˈfrɛndli],The friendly is absolutely essential,Человек и общество,B1
